Marca	Modelo	Ano	Motor
Nissan	V16	1990	1.6L
Nissan	V16	1991	1.6L
Nissan	V16	1992	1.6L
Nissan	V16	1993	1.6L
Nissan	V16	1994	1.6L
Nissan	V16	1995	1.6L
Nissan	V16	1996	1.6L
Nissan	V16	1997	1.6L
Nissan	V16	1998	1.6L
Nissan	V16	1999	1.6L
Nissan	V16	2000	1.6L
Nissan	V16	2001	1.6L
Nissan	V16	2002	1.6L
Nissan	V16	2003	1.6L
Nissan	V16	2004	1.6L
Nissan	V16	2005	1.6L
Nissan	V16	2006	1.6L
Nissan	V16	2007	1.6L
Nissan	V16	2008	1.6L
Nissan	V16	2009	1.6L
Nissan	V16	2010	1.6L
Nissan	D21	1990	2.4L / 2.5D
Nissan	D21	1991	2.4L / 2.5D
Nissan	D21	1992	2.4L / 2.5D
Nissan	D21	1993	2.4L / 2.5D
Nissan	D21	1994	2.4L / 2.5D
Nissan	D21	1995	2.4L / 2.5D
Nissan	D21	1996	2.4L / 2.5D
Nissan	D21	1997	2.4L / 2.5D
Nissan	D21	1998	2.4L / 2.5D
Nissan	D21	1999	2.4L / 2.5D
Nissan	D21	2000	2.4L / 2.5D
Nissan	D21	2001	2.4L / 2.5D
Nissan	D21	2002	2.4L / 2.5D
Nissan	D21	2003	2.4L / 2.5D
Nissan	D21	2004	2.4L / 2.5D
Nissan	D21	2005	2.4L / 2.5D
Nissan	D21	2006	2.4L / 2.5D
Nissan	D21	2007	2.4L / 2.5D
Nissan	D21	2008	2.4L / 2.5D
Toyota	Tercel	1990	1.3L / 1.5L
Toyota	Tercel	1991	1.3L / 1.5L
Toyota	Tercel	1992	1.3L / 1.5L
Toyota	Tercel	1993	1.3L / 1.5L
Toyota	Tercel	1994	1.3L / 1.5L
Toyota	Tercel	1995	1.3L / 1.5L
Toyota	Tercel	1996	1.3L / 1.5L
Toyota	Tercel	1997	1.3L / 1.5L
Toyota	Tercel	1998	1.3L / 1.5L
Toyota	Tercel	1999	1.3L / 1.5L
Toyota	Hilux	1990	2.4L / 2.8D / 3.0D
Toyota	Hilux	1991	2.4L / 2.8D / 3.0D
Toyota	Hilux	1992	2.4L / 2.8D / 3.0D
Toyota	Hilux	1993	2.4L / 2.8D / 3.0D
Toyota	Hilux	1994	2.4L / 2.8D / 3.0D
Toyota	Hilux	1995	2.4L / 2.8D / 3.0D
Toyota	Hilux	1996	2.4L / 2.8D / 3.0D
Toyota	Hilux	1997	2.4L / 2.8D / 3.0D
Toyota	Hilux	1998	2.4L / 2.8D / 3.0D
Toyota	Hilux	1999	2.4L / 2.8D / 3.0D
Toyota	Hilux	2000	2.4L / 2.8D / 3.0D
Toyota	Hilux	2001	2.4L / 2.8D / 3.0D
Toyota	Hilux	2002	2.4L / 2.8D / 3.0D
Toyota	Hilux	2003	2.4L / 2.8D / 3.0D
Toyota	Hilux	2004	2.4L / 2.8D / 3.0D
Toyota	Hilux	2005	2.4L / 2.8D / 3.0D
Toyota	Hilux	2006	2.4L / 2.8D / 3.0D
Toyota	Hilux	2007	2.4L / 2.8D / 3.0D
Toyota	Hilux	2008	2.4L / 2.8D / 3.0D
Toyota	Hilux	2009	2.4L / 2.8D / 3.0D
Toyota	Hilux	2010	2.4L / 2.8D / 3.0D
Toyota	Hilux	2011	2.4L / 2.8D / 3.0D
Toyota	Hilux	2012	2.4L / 2.8D / 3.0D
Toyota	Hilux	2013	2.4L / 2.8D / 3.0D
Toyota	Land Cruiser	1990	4.0L V6 / 4.5L V6
Toyota	Land Cruiser	1991	4.0L V6 / 4.5L V6
Toyota	Land Cruiser	1992	4.0L V6 / 4.5L V6
Toyota	Land Cruiser	1993	4.0L V6 / 4.5L V6
Toyota	Land Cruiser	1994	4.0L V6 / 4.5L V6
Toyota	Land Cruiser	1995	4.0L V6 / 4.5L V6
Toyota	Land Cruiser	1996	4.0L V6 / 4.5L V6
Toyota	Land Cruiser	1997	4.0L V6 / 4.5L V6
Toyota	Land Cruiser	1998	4.0L V6 / 4.5L V6
Toyota	Land Cruiser	1999	4.0L V6 / 4.5L V6
Chevrolet	LUV	1990	2.3L
Chevrolet	LUV	1991	2.3L
Chevrolet	LUV	1992	2.3L
Chevrolet	LUV	1993	2.3L
Chevrolet	LUV	1994	2.3L
Chevrolet	LUV	1995	2.3L
Chevrolet	LUV	1996	2.3L
Chevrolet	LUV	1997	2.3L
Chevrolet	LUV	1998	2.3L
Chevrolet	LUV	1999	2.3L
Chevrolet	LUV	2000	2.3L
Chevrolet	LUV	2001	2.3L
Chevrolet	LUV	2002	2.3L
Chevrolet	LUV	2003	2.3L
Chevrolet	LUV	2004	2.3L
Chevrolet	Trooper	1990	2.8D / 3.2L V6
Chevrolet	Trooper	1991	2.8D / 3.2L V6
Chevrolet	Trooper	1992	2.8D / 3.2L V6
Chevrolet	Trooper	1993	2.8D / 3.2L V6
Chevrolet	Trooper	1994	2.8D / 3.2L V6
Chevrolet	Trooper	1995	2.8D / 3.2L V6
Chevrolet	Trooper	1996	2.8D / 3.2L V6
Chevrolet	Trooper	1997	2.8D / 3.2L V6
Chevrolet	Trooper	1998	2.8D / 3.2L V6
Chevrolet	Trooper	1999	2.8D / 3.2L V6
Chevrolet	Corsa	1994	1.0L / 1.6L
Chevrolet	Corsa	1995	1.0L / 1.6L
Chevrolet	Corsa	1996	1.0L / 1.6L
Chevrolet	Corsa	1997	1.0L / 1.6L
Chevrolet	Corsa	1998	1.0L / 1.6L
Chevrolet	Corsa	1999	1.0L / 1.6L
Chevrolet	Corsa	2000	1.0L / 1.6L
Chevrolet	Corsa	2001	1.0L / 1.6L
Chevrolet	Corsa	2002	1.0L / 1.6L
Chevrolet	Corsa	2003	1.0L / 1.6L
Chevrolet	Corsa	2004	1.0L / 1.6L
Chevrolet	Corsa	2005	1.0L / 1.6L
Chevrolet	Corsa	2006	1.0L / 1.6L
Chevrolet	Corsa	2007	1.0L / 1.6L
Chevrolet	Corsa	2008	1.0L / 1.6L
Chevrolet	Corsa	2009	1.0L / 1.6L
Chevrolet	Corsa	2010	1.0L / 1.6L
Chevrolet	Corsa	2011	1.0L / 1.6L
Subaru	Legacy	1990	2.0L Boxer
Subaru	Legacy	1991	2.0L Boxer
Subaru	Legacy	1992	2.0L Boxer
Subaru	Legacy	1993	2.0L Boxer
Subaru	Legacy	1994	2.0L Boxer
Subaru	Legacy	1995	2.0L Boxer
Subaru	Legacy	1996	2.0L Boxer
Subaru	Legacy	1997	2.0L Boxer
Subaru	Legacy	1998	2.0L Boxer
Subaru	Legacy	1999	2.0L Boxer
Subaru	Legacy	2000	2.0L Boxer
Subaru	Justy	1990	1.0L / 1.2L
Subaru	Justy	1991	1.0L / 1.2L
Subaru	Justy	1992	1.0L / 1.2L
Subaru	Justy	1993	1.0L / 1.2L
Subaru	Justy	1994	1.0L / 1.2L
Subaru	Justy	1995	1.0L / 1.2L
Subaru	Justy	1996	1.0L / 1.2L
Subaru	Justy	1997	1.0L / 1.2L
Subaru	Justy	1998	1.0L / 1.2L
Subaru	Justy	1999	1.0L / 1.2L
Subaru	Justy	2000	1.0L / 1.2L
Suzuki	Vitara	1990	1.3L / 1.6L
Suzuki	Vitara	1991	1.3L / 1.6L
Suzuki	Vitara	1992	1.3L / 1.6L
Suzuki	Vitara	1993	1.3L / 1.6L
Suzuki	Vitara	1994	1.3L / 1.6L
Suzuki	Vitara	1995	1.3L / 1.6L
Suzuki	Vitara	1996	1.3L / 1.6L
Suzuki	Vitara	1997	1.3L / 1.6L
Suzuki	Vitara	1998	1.3L / 1.6L
Suzuki	Vitara	1999	1.3L / 1.6L
Suzuki	Vitara	2000	1.3L / 1.6L
Suzuki	Vitara	2001	1.3L / 1.6L
Suzuki	Vitara	2002	1.3L / 1.6L
Suzuki	Vitara	2003	1.3L / 1.6L
Suzuki	Vitara	2004	1.3L / 1.6L
Suzuki	Vitara	2005	1.3L / 1.6L
Suzuki	Vitara	2006	1.3L / 1.6L
Suzuki	Vitara	2007	1.3L / 1.6L
Suzuki	Vitara	2008	1.3L / 1.6L
Suzuki	Vitara	2009	1.3L / 1.6L
Suzuki	Vitara	2010	1.3L / 1.6L
Suzuki	Vitara	2011	1.3L / 1.6L
Suzuki	Vitara	2012	1.3L / 1.6L
Suzuki	Vitara	2013	1.3L / 1.6L
Suzuki	Vitara	2014	1.3L / 1.6L
Suzuki	Maruti	1990	0.8L
Suzuki	Maruti	1991	0.8L
Suzuki	Maruti	1992	0.8L
Suzuki	Maruti	1993	0.8L
Suzuki	Maruti	1994	0.8L
Suzuki	Maruti	1995	0.8L
Suzuki	Maruti	1996	0.8L
Suzuki	Maruti	1997	0.8L
Suzuki	Maruti	1998	0.8L
Suzuki	Maruti	1999	0.8L
Suzuki	Maruti	2000	0.8L
Suzuki	Baleno	1995	1.6L
Suzuki	Baleno	1996	1.6L
Suzuki	Baleno	1997	1.6L
Suzuki	Baleno	1998	1.6L
Suzuki	Baleno	1999	1.6L
Suzuki	Baleno	2000	1.6L
Suzuki	Baleno	2001	1.6L
Suzuki	Baleno	2002	1.6L
Suzuki	Samurai	1990	1.0L / 1.3L
Suzuki	Samurai	1991	1.0L / 1.3L
Suzuki	Samurai	1992	1.0L / 1.3L
Suzuki	Samurai	1993	1.0L / 1.3L
Suzuki	Samurai	1994	1.0L / 1.3L
Suzuki	Samurai	1995	1.0L / 1.3L
Suzuki	Samurai	1996	1.0L / 1.3L
Suzuki	Samurai	1997	1.0L / 1.3L
Suzuki	Samurai	1998	1.0L / 1.3L
Suzuki	Samurai	1999	1.0L / 1.3L
Suzuki	Carry	1990	1.0L
Suzuki	Carry	1991	1.0L
Suzuki	Carry	1992	1.0L
Suzuki	Carry	1993	1.0L
Suzuki	Carry	1994	1.0L
Suzuki	Carry	1995	1.0L
Suzuki	Carry	1996	1.0L
Suzuki	Carry	1997	1.0L
Suzuki	Carry	1998	1.0L
Suzuki	Carry	1999	1.0L
Suzuki	Carry	2000	1.0L
Suzuki	Carry	2001	1.0L
Suzuki	Carry	2002	1.0L
Suzuki	Carry	2003	1.0L
Suzuki	Carry	2004	1.0L
Kia	Sephia	1990	1.5L / 1.6L / 1.8L
Kia	Sephia	1991	1.5L / 1.6L / 1.8L
Kia	Sephia	1992	1.5L / 1.6L / 1.8L
Kia	Sephia	1993	1.5L / 1.6L / 1.8L
Kia	Sephia	1994	1.5L / 1.6L / 1.8L
Kia	Sephia	1995	1.5L / 1.6L / 1.8L
Kia	Sephia	1996	1.5L / 1.6L / 1.8L
Kia	Sephia	1997	1.5L / 1.6L / 1.8L
Kia	Sephia	1998	1.5L / 1.6L / 1.8L
Kia	Sephia	1999	1.5L / 1.6L / 1.8L
Kia	Sephia	2000	1.5L / 1.6L / 1.8L
Kia	Sephia	2001	1.5L / 1.6L / 1.8L
Fiat	Uno	1990	1.4L
Fiat	Uno	1991	1.4L
Fiat	Uno	1992	1.4L
Fiat	Uno	1993	1.4L
Fiat	Uno	1994	1.4L
Fiat	Uno	1995	1.4L
Fiat	Uno	1996	1.4L
Fiat	Uno	1997	1.4L
Fiat	Uno	1998	1.4L
Fiat	Uno	1999	1.4L
Fiat	Uno	2000	1.4L
Fiat	Uno	2001	1.4L
Fiat	Uno	2002	1.4L
Fiat	Uno	2003	1.4L
Fiat	Uno	2004	1.4L
Fiat	Uno	2005	1.4L
Fiat	Uno	2006	1.4L
Fiat	Uno	2007	1.4L
Fiat	Uno	2008	1.4L
Fiat	Uno	2009	1.4L
Fiat	Uno	2010	1.4L
Fiat	Uno	2011	1.4L
Fiat	147L	1990	1.4L
Fiat	147L	1991	1.4L
Fiat	147L	1992	1.4L
Fiat	147L	1993	1.4L
Fiat	147L	1994	1.4L
Fiat	147L	1995	1.4L
Fiat	147L	1996	1.4L
Fiat	147L	1997	1.4L
Peugeot	205	1990	1.4L / 1.6L
Peugeot	205	1991	1.4L / 1.6L
Peugeot	205	1992	1.4L / 1.6L
Peugeot	205	1993	1.4L / 1.6L
Peugeot	205	1994	1.4L / 1.6L
Peugeot	205	1995	1.4L / 1.6L
Peugeot	205	1996	1.4L / 1.6L
Peugeot	205	1997	1.4L / 1.6L
Peugeot	205	1998	1.4L / 1.6L
Peugeot	306	1993	1.6L / 1.8L / 2.0L
Peugeot	306	1994	1.6L / 1.8L / 2.0L
Peugeot	306	1995	1.6L / 1.8L / 2.0L
Peugeot	306	1996	1.6L / 1.8L / 2.0L
Peugeot	306	1997	1.6L / 1.8L / 2.0L
Peugeot	306	1998	1.6L / 1.8L / 2.0L
Peugeot	306	1999	1.6L / 1.8L / 2.0L
Peugeot	306	2000	1.6L / 1.8L / 2.0L
Peugeot	306	2001	1.6L / 1.8L / 2.0L
Peugeot	405	1990	1.6L / 1.8L / 2.0L
Peugeot	405	1991	1.6L / 1.8L / 2.0L
Peugeot	405	1992	1.6L / 1.8L / 2.0L
Peugeot	405	1993	1.6L / 1.8L / 2.0L
Peugeot	405	1994	1.6L / 1.8L / 2.0L
Peugeot	405	1995	1.6L / 1.8L / 2.0L
Peugeot	405	1996	1.6L / 1.8L / 2.0L
Peugeot	405	1997	1.6L / 1.8L / 2.0L
Volkswagen	Gol	1990	1.6L
Volkswagen	Gol	1991	1.6L
Volkswagen	Gol	1992	1.6L
Volkswagen	Gol	1993	1.6L
Volkswagen	Gol	1994	1.6L
Volkswagen	Gol	1995	1.6L
Volkswagen	Gol	1996	1.6L
Volkswagen	Gol	1997	1.6L
Volkswagen	Gol	1998	1.6L
Volkswagen	Gol	1999	1.6L
Volkswagen	Gol	2000	1.6L
Volkswagen	Gol	2001	1.6L
Volkswagen	Gol	2002	1.6L
Volkswagen	Gol	2003	1.6L
Volkswagen	Gol	2004	1.6L
Volkswagen	Gol	2005	1.6L
Volkswagen	Gol	2006	1.6L
Volkswagen	Gol	2007	1.6L
Volkswagen	Gol	2008	1.6L
Volkswagen	Gol	2009	1.6L
Volkswagen	Gol	2010	1.6L
Volkswagen	Gol	2011	1.6L
Volkswagen	Gol	2012	1.6L
Volkswagen	Gol	2013	1.6L
Volkswagen	Kombi	1990	1.6L / 1.8L / 2.0L
Volkswagen	Kombi	1991	1.6L / 1.8L / 2.0L
Volkswagen	Kombi	1992	1.6L / 1.8L / 2.0L
Volkswagen	Kombi	1993	1.6L / 1.8L / 2.0L
Volkswagen	Kombi	1994	1.6L / 1.8L / 2.0L
Volkswagen	Kombi	1995	1.6L / 1.8L / 2.0L
Volkswagen	Kombi	1996	1.6L / 1.8L / 2.0L
Volkswagen	Kombi	1997	1.6L / 1.8L / 2.0L
Volkswagen	Kombi	1998	1.6L / 1.8L / 2.0L
Volkswagen	Kombi	1999	1.6L / 1.8L / 2.0L
Volkswagen	Kombi	2000	1.6L / 1.8L / 2.0L
Volkswagen	Kombi	2001	1.6L / 1.8L / 2.0L
Volkswagen	Kombi	2002	1.6L / 1.8L / 2.0L
Volkswagen	Kombi	2003	1.6L / 1.8L / 2.0L
Volkswagen	Kombi	2004	1.6L / 1.8L / 2.0L
Volkswagen	Kombi	2005	1.6L / 1.8L / 2.0L
Volkswagen	Kombi	2006	1.6L / 1.8L / 2.0L
Volkswagen	Kombi	2007	1.6L / 1.8L / 2.0L
Volkswagen	Kombi	2008	1.6L / 1.8L / 2.0L
Volkswagen	Kombi	2009	1.6L / 1.8L / 2.0L
Volkswagen	Kombi	2010	1.6L / 1.8L / 2.0L
Volkswagen	Kombi	2011	1.6L / 1.8L / 2.0L
Volkswagen	Kombi	2012	1.6L / 1.8L / 2.0L
Volkswagen	Kombi	2013	1.6L / 1.8L / 2.0L
Volkswagen	Escarabajo	1990	1.6L / 1.8L / 2.0L
Volkswagen	Escarabajo	1991	1.6L / 1.8L / 2.0L
Volkswagen	Escarabajo	1992	1.6L / 1.8L / 2.0L
Volkswagen	Escarabajo	1993	1.6L / 1.8L / 2.0L
Volkswagen	Escarabajo	1994	1.6L / 1.8L / 2.0L
Volkswagen	Escarabajo	1995	1.6L / 1.8L / 2.0L
Volkswagen	Escarabajo	1996	1.6L / 1.8L / 2.0L
Volkswagen	Escarabajo	1997	1.6L / 1.8L / 2.0L
Volkswagen	Escarabajo	1998	1.6L / 1.8L / 2.0L
Volkswagen	Escarabajo	1999	1.6L / 1.8L / 2.0L
Volkswagen	Escarabajo	2000	1.6L / 1.8L / 2.0L
Volkswagen	Escarabajo	2001	1.6L / 1.8L / 2.0L
Volkswagen	Escarabajo	2002	1.6L / 1.8L / 2.0L
Volkswagen	Escarabajo	2003	1.6L / 1.8L / 2.0L
Daewoo	Heaven	1990	1.5L / 1.6L
Daewoo	Heaven	1991	1.5L / 1.6L
Daewoo	Heaven	1992	1.5L / 1.6L
Daewoo	Heaven	1993	1.5L / 1.6L
Daewoo	Heaven	1994	1.5L / 1.6L
Daewoo	Heaven	1995	1.5L / 1.6L
Daewoo	Heaven	1996	1.5L / 1.6L
Daewoo	Heaven	1997	1.5L / 1.6L
Daewoo	Heaven	1998	1.5L / 1.6L
Daewoo	Heaven	1999	1.5L / 1.6L
Daewoo	Heaven	2000	1.5L / 1.6L
