Marca	Modelo	Ano	Motor	VIN
Audi	A3	2014	1.4T/2.0T EA211/EA888	WA12HJX14EC303403
Audi	A3	2015	1.4T/2.0T EA211/EA888	WAU6L1Y67FN937064
Audi	A3	2016	1.4T/2.0T EA211/EA888	WA1YW8BM8GY488572
Audi	A3	2017	1.4T/2.0T EA211/EA888	WAU3254M2H0522963
Audi	A3	2018	1.4T/2.0T EA211/EA888	WA1TKU4L2JS111197
Audi	A3	2019	1.4T/2.0T EA211/EA888	WAUMD61LXKW700798
Audi	A3	2020	1.4T/2.0T EA211/EA888	WA1KST8P0LM564695
Audi	A3	2021	1.4T/2.0T EA211/EA888	WA1SFZ2J1MD126491
Audi	A3	2022	1.4T/2.0T EA211/EA888	WAUTLLBX8NU772498
Audi	A3	2023	1.4T/2.0T EA211/EA888	WA1WA7RB0PD295540
Audi	A3	2024	1.4T/2.0T EA211/EA888	WA1Y0C919RU058964
Audi	A3	2025	1.4T/2.0T EA211/EA888	WAUVT1NH0SP666364
Audi	A3	2026	1.4T/2.0T EA211/EA888	WAUFZ2WE3TL955759
Audi	A4	2016	2.0T EA888	WAUDVNK07GJ023676
Audi	A4	2017	2.0T EA888	WA1LDH953H3668166
Audi	A4	2018	2.0T EA888	WAU01JV41JJ951041
Audi	A4	2019	2.0T EA888	WAUR0E5Y4K7364321
Audi	A4	2020	2.0T EA888	WA11KJZ39LW953156
Audi	A4	2021	2.0T EA888	WA1UBLDN3MH312740
Audi	A4	2022	2.0T EA888	WA16WNNZ3NY552043
Audi	A4	2023	2.0T EA888	WA1CDN0A9PN224818
Audi	A4	2024	2.0T EA888	WAUDXRBG5RT330205
Audi	A4	2025	2.0T EA888	WAUAVXDW1SU399555
Audi	A4	2026	2.0T EA888	WAU46XL58T7449676
Audi	Q3	2015	1.4T/2.0T EA211/EA888	WAUHYD8A7FS340126
Audi	Q3	2016	1.4T/2.0T EA211/EA888	WAUWAWEW9GG723027
Audi	Q3	2017	1.4T/2.0T EA211/EA888	WA1G9XPP4HH686535
Audi	Q3	2018	1.4T/2.0T EA211/EA888	WAU0SR475JK914950
Audi	Q3	2019	1.4T/2.0T EA211/EA888	WA1V7URM4K3461681
Audi	Q3	2020	1.4T/2.0T EA211/EA888	WA1H4LRU8L7851919
Audi	Q3	2021	1.4T/2.0T EA211/EA888	WA1TTN2F0ME966869
Audi	Q3	2022	1.4T/2.0T EA211/EA888	WAUD085X9NP717353
Audi	Q3	2023	1.4T/2.0T EA211/EA888	WAU86CN99PG466969
Audi	Q3	2024	1.4T/2.0T EA211/EA888	WAUFAK2A0RG048205
Audi	Q3	2025	1.4T/2.0T EA211/EA888	WA1M7ZX36SK396423
Audi	Q3	2026	1.4T/2.0T EA211/EA888	WA1F28DC6TS203680
Audi	Q5	2017	2.0T EA888	WA1AY7U51H7464519
Audi	Q5	2018	2.0T EA888	WAUS1F592JH716009
Audi	Q5	2019	2.0T EA888	WA1MR7F52KN407076
Audi	Q5	2020	2.0T EA888	WA1G4ZG03LK708002
Audi	Q5	2021	2.0T EA888	WAUEFY8B2M9014134
Audi	Q5	2022	2.0T EA888	WAUM078X4NU871704
Audi	Q5	2023	2.0T EA888	WAU5PEKR7P2285897
Audi	Q5	2024	2.0T EA888	WAU6G1ZB2R0012189
Audi	Q5	2025	2.0T EA888	WAUGMH4B9SD122376
Audi	Q5	2026	2.0T EA888	WAU62JVAXTV806427
BAIC	X55	2020	1.5T A151T	LA09XF7C2LK567695
BAIC	X55	2021	1.5T A151T	LA03BVS40ML522605
BAIC	X55	2022	1.5T A151T	LA0VJATE5NA019290
BAIC	X55	2023	1.5T A151T	LA0ASCM88PM693368
BAIC	X55	2024	1.5T A151T	LA0LS9AWXRA826103
BAIC	X55	2025	1.5T A151T	LA0L16DY8SS615044
BAIC	X55	2026	1.5T A151T	LA0V31U2XTT217931
BMW	Serie 1	2015	1.5T B38 / 2.0T B48	WBAAC3JJ1F7179554
BMW	Serie 1	2016	1.5T B38 / 2.0T B48	WBY30UG37G8771859
BMW	Serie 1	2017	1.5T B38 / 2.0T B48	WBAKFAF11HW630631
BMW	Serie 1	2018	1.5T B38 / 2.0T B48	WBAFKA429JH079805
BMW	Serie 1	2019	1.5T B38 / 2.0T B48	WBYAU4RN1K1236361
BMW	Serie 1	2020	1.5T B38 / 2.0T B48	WBA7YY790L0227796
BMW	Serie 1	2021	1.5T B38 / 2.0T B48	5UX4Y96F1MF282872
BMW	Serie 1	2022	1.5T B38 / 2.0T B48	WBSW2M988N3020872
BMW	Serie 1	2023	1.5T B38 / 2.0T B48	WBSRAG8D5PT619330
